Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
75,tt1464783,2013-09-22,2013-09-22,,The Great Hip Hop Hoax,https://www.imdb.com/title/tt1464783/,movie,7.1,93,2013,"Documentary, Comedy, Music",475,2013-03-14,Jeanie Finlay,,
76,tt2852376,2013-09-24,2013-09-24,,Heli,https://www.imdb.com/title/tt2852376/,movie,6.8,105,2013,"Crime, Drama, Romance, Thriller",4109,2013-05-16,Amat Escalante,,
77,tt2737310,2013-09-26,2013-09-26,,Mistaken for Strangers,https://www.imdb.com/title/tt2737310/,movie,7.3,75,2013,"Documentary, Comedy, Music",3898,2013-04-17,Tom Berninger,,
78,tt0874289,2013-09-27,2013-09-27,,America Undercover: The Iceman Tapes: Conversations with a Killer,https://www.imdb.com/title/tt0874289/,tvEpisode,7.7,47,1992,Documentary,715,1992-04-07,"Tom Spain, Arthur Ginsberg",,
79,tt2076871,2013-09-28,2013-09-28,,Kelly + Victor,https://www.imdb.com/title/tt2076871/,movie,5.7,95,2012,Drama,644,2012-10-16,Kieran Evans,,
80,tt2217458,2013-09-29,2013-09-29,,Flores Raras,https://www.imdb.com/title/tt2217458/,movie,7.0,118,2013,"Biography, Drama, Romance",2311,2013-02-09,Bruno Barreto,,
81,tt2017634,2013-09-29,2013-09-29,,Kink,https://www.imdb.com/title/tt2017634/,movie,6.3,80,2013,Documentary,1020,2013-01-19,Christina Voros,,
82,tt2120779,2013-10-02,2013-10-02,,Jason Becker: Not Dead Yet,https://www.imdb.com/title/tt2120779/,movie,8.1,87,2012,"Documentary, Biography, Music",1060,2012-03-03,Jesse Vile,,
83,tt2125423,2013-10-26,2013-10-26,,Five Broken Cameras,https://www.imdb.com/title/tt2125423/,movie,8.0,94,2011,"Documentary, War",5274,2011-11-23,"Guy Davidi, Emad Burnat",,
84,tt1291580,2013-10-31,2013-10-31,,Behind the Candelabra,https://www.imdb.com/title/tt1291580/,tvMovie,7.0,118,2013,"Biography, Drama, Romance",35753,2013-05-21,Steven Soderbergh,,
85,tt2309021,2013-11-01,2013-11-01,,We Are What We Are,https://www.imdb.com/title/tt2309021/,movie,5.9,105,2013,"Drama, Horror, Thriller",17261,2013-01-18,Jim Mickle,,
86,tt2396495,2013-11-02,2013-11-02,,Fresh Meat,https://www.imdb.com/title/tt2396495/,movie,5.4,91,2012,"Comedy, Horror",1372,2012-10-15,Danny Mulheron,,
87,tt1792576,2013-11-08,2013-11-08,,Jobriath A.D.,https://www.imdb.com/title/tt1792576/,movie,7.3,102,2012,Documentary,119,2012-06-15,Kieran Turner,,
88,tt2325909,2013-11-11,2013-11-11,,Kerron sinulle kaiken,https://www.imdb.com/title/tt2325909/,movie,6.8,95,2013,"Drama, Romance",599,2013-03-08,Simo Halinen,,
89,tt0387564,2013-12-07,2013-12-07,,Saw,https://www.imdb.com/title/tt0387564/,movie,7.6,103,2004,"Crime, Horror, Mystery, Thriller",332677,2004-01-19,James Wan,,
90,tt0432348,2013-12-09,2013-12-09,,Saw II,https://www.imdb.com/title/tt0432348/,movie,6.6,93,2005,"Horror, Mystery",207042,2005-10-28,Darren Lynn Bousman,,
91,tt0489270,2013-12-10,2013-12-10,,Saw III,https://www.imdb.com/title/tt0489270/,movie,6.2,108,2006,Horror,157525,2006-10-26,Darren Lynn Bousman,,
92,tt0890870,2013-12-10,2013-12-10,,Saw IV,https://www.imdb.com/title/tt0890870/,movie,5.9,93,2007,"Horror, Mystery",123772,2007-10-25,Darren Lynn Bousman,,
93,tt1132626,2013-12-11,2013-12-11,,Saw V,https://www.imdb.com/title/tt1132626/,movie,5.8,92,2008,"Horror, Mystery",99874,2008-10-23,David Hackl,,
94,tt1233227,2013-12-12,2013-12-12,,Saw VI,https://www.imdb.com/title/tt1233227/,movie,6.0,90,2009,"Horror, Mystery",87138,2009-10-22,Kevin Greutert,,
