Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
284,tt0399146,2016-01-22,2016-01-22,,A History of Violence,https://www.imdb.com/title/tt0399146/,movie,7.5,96,2005,"Crime, Drama, Thriller",201985,2005-05-16,David Cronenberg,,
285,tt0070061,2016-01-22,2016-01-22,,"Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...'",https://www.imdb.com/title/tt0070061/,movie,7.9,124,1973,"Comedy, Drama, Romance",1782,1973-02-22,Lina Wertmüller,,
286,tt0029526,2016-01-24,2016-01-24,,Scipione l'africano,https://www.imdb.com/title/tt0029526/,movie,5.4,117,1937,"Drama, History, War",197,1937-08-04,Carmine Gallone,,
287,tt4074304,2016-01-25,2016-01-25,,Pervert Park,https://www.imdb.com/title/tt4074304/,movie,7.0,77,2014,"Documentary, Crime",1014,2014-11-06,"Frida Barkfors, Lasse Barkfors",,
288,tt4455634,2016-01-28,2016-01-28,,Reach for the SKY,https://www.imdb.com/title/tt4455634/,movie,7.8,90,2015,Documentary,64,2015-10-01,"Steven Dhoedt, Wooyoung Choi",,
289,tt5121762,2016-01-29,2016-01-29,,Jag är Dublin,https://www.imdb.com/title/tt5121762/,movie,5.5,80,2015,Documentary,13,2015-01-24,"Ahmed Abdullahi, Anna Persson, David Aronowitsch, Sharmarke Binyusuf",,
290,tt5238322,2016-01-29,2016-01-29,,Like the Others,https://www.imdb.com/title/tt5238322/,movie,6.0,95,2015,Documentary,5,2015-03-01,Constantin Wulff,,
291,tt3509878,2016-01-29,2016-01-29,,Sergio Herman: Fucking Perfect,https://www.imdb.com/title/tt3509878/,movie,7.1,,2015,Documentary,374,2015-02-01,Willemiek Kluijfhout,,
292,tt3569732,2016-01-29,2016-01-29,,Spandex sapiens,https://www.imdb.com/title/tt3569732/,movie,6.5,87,2015,"Documentary, Action, Drama, Romance",112,2015-11-05,Oskari Pastila,,
293,tt3505682,2016-01-30,2016-01-30,,Bolshoi Babylon,https://www.imdb.com/title/tt3505682/,movie,6.2,86,2015,Documentary,357,2015-09-14,"Nick Read, Mark Franchetti",,
294,tt4477456,2016-01-30,2016-01-30,,K2. Dotknac nieba,https://www.imdb.com/title/tt4477456/,movie,5.7,72,2015,"Documentary, Family, Sport",41,2015-06-14,Eliza Kubarska,,
295,tt2415458,2016-01-30,2016-01-30,,The Wolfpack,https://www.imdb.com/title/tt2415458/,movie,7.0,90,2015,"Documentary, Biography",10045,2015-01-25,Crystal Moselle,,
296,tt4714240,2016-01-31,2016-01-31,,Fang den Haider,https://www.imdb.com/title/tt4714240/,movie,5.7,91,2015,Documentary,26,2015-05-08,Nathalie Borgers,,
297,tt4536540,2016-01-31,2016-01-31,,Fassbinder,https://www.imdb.com/title/tt4536540/,movie,6.8,95,2015,Documentary,120,2015-04-30,Annekatrin Hendel,,
298,tt0810819,2016-02-28,2016-02-28,,The Danish Girl,https://www.imdb.com/title/tt0810819/,movie,7.1,119,2015,"Biography, Drama, History, Romance",126491,2015-09-05,Tom Hooper,,
299,tt4844522,2016-03-05,2016-03-05,,Haiyû Kameoka Takuji,https://www.imdb.com/title/tt4844522/,movie,6.7,123,2015,Comedy,86,2015-10-25,Satoko Yokohama,,
300,tt1453405,2016-03-07,2016-03-07,,Monsters University,https://www.imdb.com/title/tt1453405/,movie,7.3,104,2013,"Animation, Adventure, Comedy, Family, Fantasy",267476,2013-06-05,Dan Scanlon,,
301,tt5210376,2016-03-28,2016-03-28,,Takaisin pintaan,https://www.imdb.com/title/tt5210376/,movie,7.1,90,2016,Documentary,778,2016-01-27,Juan Reina,,
302,tt3966404,2016-03-31,2016-03-31,,Mustang,https://www.imdb.com/title/tt3966404/,movie,7.6,97,2015,Drama,26888,2015-05-19,Deniz Gamze Ergüven,,
303,tt4897822,2016-04-01,2016-04-01,,Where to Invade Next,https://www.imdb.com/title/tt4897822/,movie,7.6,120,2015,"Documentary, Comedy",18838,2015-09-10,Michael Moore,,
304,tt2891174,2016-04-01,2016-04-01,,99 Homes,https://www.imdb.com/title/tt2891174/,movie,7.1,112,2014,Drama,23880,2014-08-29,Ramin Bahrani,,
305,tt2872462,2016-04-02,2016-04-02,,Mistress America,https://www.imdb.com/title/tt2872462/,movie,6.7,84,2015,"Comedy, Drama",20565,2015-01-24,Noah Baumbach,,
306,tt3824458,2016-04-02,2016-04-02,,Tangerine,https://www.imdb.com/title/tt3824458/,movie,7.1,88,2015,"Comedy, Crime, Drama",18908,2015-01-23,Sean Baker,,
307,tt3077214,2016-04-02,2016-04-02,,Suffragette,https://www.imdb.com/title/tt3077214/,movie,6.9,106,2015,"Biography, Drama, History",30242,2015-09-04,Sarah Gavron,,
308,tt3203606,2016-04-03,2016-04-03,,Trumbo,https://www.imdb.com/title/tt3203606/,movie,7.5,124,2015,"Biography, Drama",63460,2015-09-12,Jay Roach,,
309,tt2910904,2016-04-03,2016-04-03,,The Dressmaker,https://www.imdb.com/title/tt2910904/,movie,7.1,119,2015,"Comedy, Drama",39893,2015-09-14,Jocelyn Moorhouse,,
310,tt3573598,2016-04-03,2016-04-03,,London Road,https://www.imdb.com/title/tt3573598/,movie,5.3,91,2015,"Musical, Mystery, Thriller",1526,2015-06-12,Rufus Norris,,
311,tt3072482,2016-04-09,2016-04-09,,Hardcore Henry,https://www.imdb.com/title/tt3072482/,movie,6.7,96,2015,"Action, Adventure, Sci-Fi, Thriller",68336,2015-09-12,Ilya Naishuller,,
312,tt4497686,2016-04-13,2016-04-13,,Atroz (Atrocious),https://www.imdb.com/title/tt4497686/,movie,5.7,79,2015,Horror,180,2015-10-31,Lex Ortega,,
313,tt4501706,2016-04-14,2016-04-14,,Aaaaaaaah!,https://www.imdb.com/title/tt4501706/,movie,4.5,79,2015,"Comedy, Thriller",690,2015-08-28,Steve Oram,,
314,tt0368226,2016-04-15,2016-04-15,,The Room,https://www.imdb.com/title/tt0368226/,movie,3.6,99,2003,Drama,57958,2003-06-27,Tommy Wiseau,1,2016-04-15
315,tt0078935,2016-04-16,2016-04-16,,Cannibal Holocaust,https://www.imdb.com/title/tt0078935/,movie,6.0,95,1980,"Adventure, Horror",43278,1980-02-07,Ruggero Deodato,,
316,tt3721256,2016-04-16,2016-04-16,,Hevn,https://www.imdb.com/title/tt3721256/,movie,5.8,100,2015,"Drama, Thriller",304,2015-11-06,Kjersti Steinsbø,,
317,tt4126394,2016-04-16,2016-04-16,,Darling,https://www.imdb.com/title/tt4126394/,movie,5.6,78,2015,"Horror, Thriller",2108,2015-09-26,Mickey Keating,,
318,tt3901962,2016-04-16,2016-04-16,,Sendero,https://www.imdb.com/title/tt3901962/,movie,3.6,85,2015,"Action, Drama, Horror, Thriller",397,2015-10-12,Lucio A. Rojas,,
319,tt3865850,2016-04-16,2016-04-16,,The Evil That Men Do,https://www.imdb.com/title/tt3865850/,movie,4.7,94,2015,Thriller,183,2015-09-03,Ramon Térmens,,
320,tt4086032,2016-04-16,2016-04-16,,Frankenstein,https://www.imdb.com/title/tt4086032/,movie,5.1,89,2015,"Horror, Thriller",1778,2015-04-12,Bernard Rose,,
321,tt4359452,2016-04-16,2016-04-16,,Nasty,https://www.imdb.com/title/tt4359452/,short,6.7,15,2015,"Short, Drama, Fantasy, Horror, Sci-Fi",26,2015-10-13,Prano Bailey-Bond,,
322,tt3190098,2016-04-18,2016-04-18,,Life After Manson,https://www.imdb.com/title/tt3190098/,short,6.5,25,2014,"Documentary, Short, Crime, Drama, News",62,2014-05-23,Olivia Klaus,,
323,tt2402927,2016-05-12,2016-05-12,,Carol,https://www.imdb.com/title/tt2402927/,movie,7.2,118,2015,"Drama, Romance",87615,2015-05-17,Todd Haynes,,
324,tt1431045,2016-05-14,2016-05-14,,Deadpool,https://www.imdb.com/title/tt1431045/,movie,8.0,108,2016,"Action, Adventure, Comedy, Romance, Sci-Fi",703910,2016-01-21,Tim Miller,2,2016-09-17
325,tt1492030,2016-05-27,2016-05-27,,Mildred Pierce,https://www.imdb.com/title/tt1492030/,tvMiniSeries,7.7,336,2011,Drama,15925,2011-03-21,,,
326,tt0069050,2016-06-04,2016-06-04,,The Other,https://www.imdb.com/title/tt0069050/,movie,7.0,108,1972,"Drama, Horror, Mystery, Thriller",4655,1972-05-23,Robert Mulligan,,
327,tt0076792,2016-06-05,2016-06-05,,Tabu,https://www.imdb.com/title/tt0076792/,movie,5.2,,1977,Drama,94,1977-01-28,Vilgot Sjöman,,
328,tt0094612,2016-06-05,2016-06-05,,Action Jackson,https://www.imdb.com/title/tt0094612/,movie,5.2,96,1988,"Action, Comedy, Crime, Thriller",8228,1988-02-12,Craig R. Baxley,,
329,tt0166228,2016-06-05,2016-06-05,,Jeesuksen pojat,https://www.imdb.com/title/tt0166228/,short,5.6,26,1983,"Short, Drama",8,1983-05-27,Juha Rosma,,
330,tt0117148,2016-06-05,2016-06-05,,Naisen logiikka,https://www.imdb.com/title/tt0117148/,movie,4.9,70,1999,Comedy,29,1999-05-21,Spede Pasanen,,
331,tt0074569,2016-06-20,2016-06-20,,L'ultima orgia del III Reich,https://www.imdb.com/title/tt0074569/,movie,4.4,92,1977,"Horror, War",1000,1977-01-31,Cesare Canevari,,
332,tt1658801,2016-07-03,2016-07-03,,Freeheld,https://www.imdb.com/title/tt1658801/,movie,6.5,103,2015,"Biography, Drama, Romance",9402,2015-09-13,Peter Sollett,2,2016-09-17
333,tt1974419,2016-07-08,2016-07-08,,The Neon Demon,https://www.imdb.com/title/tt1974419/,movie,6.2,118,2016,"Horror, Thriller",61862,2016-05-20,Nicolas Winding Refn,10,2016-09-17
334,tt0096160,2016-07-10,2016-07-10,,Splendor,https://www.imdb.com/title/tt0096160/,movie,7.1,110,1989,Drama,626,1989-02-17,Ettore Scola,,
335,tt0038791,2016-07-14,2016-07-14,,Nuoruus sumussa,https://www.imdb.com/title/tt0038791/,movie,4.5,113,1946,Drama,23,1946-04-12,T.J. Särkkä,,
336,tt0324133,2016-07-17,2016-07-17,,Swimming Pool,https://www.imdb.com/title/tt0324133/,movie,6.8,102,2003,"Crime, Drama, Mystery, Thriller",37630,2003-05-18,François Ozon,9,2016-09-17
337,tt0087332,2016-07-21,2016-07-21,,Ghost Busters,https://www.imdb.com/title/tt0087332/,movie,7.8,105,1984,"Action, Comedy, Fantasy",302951,1984-06-07,Ivan Reitman,,
338,tt0097428,2016-07-21,2016-07-21,,Ghostbusters II,https://www.imdb.com/title/tt0097428/,movie,6.5,108,1989,"Action, Comedy, Fantasy, Sci-Fi",156478,1989-06-15,Ivan Reitman,,
339,tt4400038,2016-07-31,2016-07-31,,Chocolat,https://www.imdb.com/title/tt4400038/,movie,7.1,119,2016,"Biography, Drama",4765,2016-01-05,Roschdy Zem,,
340,tt0070948,2016-08-02,2016-08-02,,Zardoz,https://www.imdb.com/title/tt0070948/,movie,5.8,105,1974,"Fantasy, Sci-Fi",16557,1974-02-06,John Boorman,,
341,tt0076085,2016-08-07,2016-08-07,,Una giornata particolare,https://www.imdb.com/title/tt0076085/,movie,8.1,106,1977,Drama,8844,1977-05-19,Ettore Scola,,
342,tt0064118,2016-08-09,2016-08-09,,La caduta degli dei (Götterdämmerung),https://www.imdb.com/title/tt0064118/,movie,7.6,156,1969,"Drama, War",6216,1969-10-02,Luchino Visconti,,
343,tt2764784,2016-08-11,2016-08-11,,Phoenix,https://www.imdb.com/title/tt2764784/,movie,7.3,98,2014,"Drama, History, Music, Romance",13133,2014-09-05,Christian Petzold,8,2016-09-17
344,tt0046438,2016-08-11,2016-08-11,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,35194,1953-11-03,Yasujirô Ozu,9,2016-09-17
345,tt2404461,2016-08-13,2016-08-13,,Le passé,https://www.imdb.com/title/tt2404461/,movie,7.8,130,2013,"Drama, Mystery",38168,2013-05-17,Asghar Farhadi,9,2016-09-17
346,tt1289401,2016-08-17,2016-08-17,,Ghostbusters,https://www.imdb.com/title/tt1289401/,movie,5.3,116,2016,"Action, Comedy, Fantasy, Sci-Fi",164607,2016-07-09,Paul Feig,7,2016-09-17
347,tt5022872,2016-08-19,2016-08-19,,Barash,https://www.imdb.com/title/tt5022872/,movie,6.0,81,2015,"Comedy, Drama, Romance",503,2015-09-20,Michal Vinik,7,2016-09-17
348,tt3553976,2016-08-20,2016-08-20,,Captain Fantastic,https://www.imdb.com/title/tt3553976/,movie,7.9,118,2016,"Comedy, Drama",134101,2016-01-23,Matt Ross,10,2016-09-17
349,tt4150494,2016-08-21,2016-08-21,,Efterskalv,https://www.imdb.com/title/tt4150494/,movie,6.5,102,2015,Drama,1038,2015-05-21,Magnus von Horn,8,2016-09-17
350,tt4699444,2016-08-22,2016-08-22,,Voir du pays,https://www.imdb.com/title/tt4699444/,movie,6.3,102,2016,Drama,516,2016-05-17,"Muriel Coulin, Delphine Coulin",7,2016-09-17
351,tt5006094,2016-08-23,2016-08-23,,The Duel of Wine,https://www.imdb.com/title/tt5006094/,movie,4.9,95,2015,Comedy,15,2015-08-01,Nicolás Carreras,1,2016-08-23
352,tt3867816,2016-08-25,2016-08-25,,Pikadero,https://www.imdb.com/title/tt3867816/,movie,6.9,98,2015,"Comedy, Drama",123,2015-09-18,Ben Sharrock,1,2016-08-25
353,tt5851030,2016-08-27,2016-08-27,,Die Geschwister,https://www.imdb.com/title/tt5851030/,movie,5.6,89,2016,Drama,102,2016-04-23,Jan Krüger,6,2016-09-17
354,tt3715122,2016-08-27,2016-08-27,,L'attesa,https://www.imdb.com/title/tt3715122/,movie,6.5,100,2015,Drama,1519,2015-09-05,Piero Messina,6,2016-09-17
355,tt3792884,2016-08-27,2016-08-27,,Alena,https://www.imdb.com/title/tt3792884/,movie,5.7,83,2015,"Drama, Horror, Thriller",477,2015-10-09,Daniel di Grado,8,2016-09-17
356,tt5278832,2016-08-28,2016-08-28,,Córki dancingu,https://www.imdb.com/title/tt5278832/,movie,6.4,92,2015,"Comedy, Drama, Horror, Musical",3393,2015-12-25,Agnieszka Smoczynska,7,2016-09-17
357,tt2005151,2016-09-04,2016-09-04,,War Dogs,https://www.imdb.com/title/tt2005151/,movie,7.1,114,2016,"Comedy, Crime, Drama, War",133262,2016-08-03,Todd Phillips,5,2016-09-17
358,tt0091530,2016-09-07,2016-09-07,,The Mission,https://www.imdb.com/title/tt0091530/,movie,7.5,125,1986,"Adventure, Drama, History",48683,1986-05-16,Roland Joffé,,
359,tt2210769,2016-09-09,2016-09-09,,"Liza, a rókatündér",https://www.imdb.com/title/tt2210769/,movie,7.7,98,2015,"Comedy, Fantasy, Romance",6676,2015-02-19,Károly Ujj Mészáros,9,2016-09-17
360,tt0085407,2016-09-13,2016-09-13,,The Dead Zone,https://www.imdb.com/title/tt0085407/,movie,7.2,103,1983,"Horror, Sci-Fi, Thriller",50483,1983-10-21,David Cronenberg,,
361,tt2937696,2016-09-16,2016-09-16,,Everybody Wants Some!!,https://www.imdb.com/title/tt2937696/,movie,7.0,117,2016,Comedy,42810,2016-03-11,Richard Linklater,8,2016-09-17
362,tt4331970,2016-09-16,2016-09-16,,Quand on a 17 ans,https://www.imdb.com/title/tt4331970/,movie,7.2,116,2016,"Drama, Romance",3527,2016-02-14,André Téchiné,9,2016-09-17
363,tt4585660,2016-09-17,2016-09-17,,Klovn Forever,https://www.imdb.com/title/tt4585660/,movie,6.3,99,2015,"Comedy, Drama",2910,2015-09-06,Mikkel Nørgaard,7,2016-09-17
364,tt4273292,2016-09-17,2016-09-17,,Under the Shadow,https://www.imdb.com/title/tt4273292/,movie,6.9,84,2016,"Drama, Horror, Thriller, War",14765,2016-01-22,Babak Anvari,8,2016-09-17
365,tt3955894,2016-09-18,2016-09-18,,Girl Asleep,https://www.imdb.com/title/tt3955894/,movie,6.2,77,2015,"Comedy, Family, Fantasy",1888,2015-10-20,Rosemary Myers,9,2016-09-18
366,tt4144190,2016-09-18,2016-09-18,,Wiener-Dog,https://www.imdb.com/title/tt4144190/,movie,5.9,88,2016,"Comedy, Drama",7391,2016-01-22,Todd Solondz,7,2016-09-18
367,tt4765604,2016-09-18,2016-09-18,,Pro lyubov,https://www.imdb.com/title/tt4765604/,movie,6.5,115,2015,"Comedy, Drama",660,2015-06-13,Anna Melikyan,5,2016-09-18
368,tt4425152,2016-09-19,2016-09-19,,Pojkarna,https://www.imdb.com/title/tt4425152/,movie,6.1,106,2015,Drama,698,2015-09-12,Alexandra-Therese Keining,9,2016-09-19
369,tt2262161,2016-09-20,2016-09-20,,Sunset Song,https://www.imdb.com/title/tt2262161/,movie,6.5,135,2015,Drama,2587,2015-09-13,Terence Davies,,
370,tt5432188,2016-09-20,2016-09-20,,Kater,https://www.imdb.com/title/tt5432188/,movie,5.9,124,2016,Drama,589,2016-02-13,Händl Klaus,,
371,tt3471098,2016-09-21,2016-09-21,,Maggie's Plan,https://www.imdb.com/title/tt3471098/,movie,6.2,98,2015,"Comedy, Drama, Romance",11936,2015-09-12,Rebecca Miller,7,2016-09-21
372,tt3828058,2016-09-22,2016-09-22,,Rodinny film,https://www.imdb.com/title/tt3828058/,movie,6.5,95,2015,Drama,302,2015-09-21,Olmo Omerzu,8,2016-09-22
373,tt4400174,2016-09-24,2016-09-24,,À peine j'ouvre les yeux,https://www.imdb.com/title/tt4400174/,movie,6.8,102,2015,Drama,914,2015-09-05,Leyla Bouzid,8,2016-09-25
374,tt5096628,2016-09-24,2016-09-24,,Théo et Hugo dans le même bateau,https://www.imdb.com/title/tt5096628/,movie,6.5,97,2016,"Drama, Romance",1571,2016-02-15,"Jacques Martineau, Olivier Ducastel",7,2016-09-25
375,tt5072542,2016-09-24,2016-09-24,,Les premiers les derniers,https://www.imdb.com/title/tt5072542/,movie,6.5,98,2016,"Comedy, Crime, Romance",673,2016-01-05,Bouli Lanners,7,2016-09-25
376,tt4153324,2016-09-25,2016-09-25,,Tjuvheder,https://www.imdb.com/title/tt4153324/,movie,7.1,92,2015,"Crime, Drama",1100,2015-09-20,Peter Grönlund,9,2016-09-25
377,tt2172095,2016-09-25,2016-09-25,,Det vita folket,https://www.imdb.com/title/tt2172095/,movie,4.4,82,2015,"Drama, Mystery, Sci-Fi",256,2015-11-11,Lisa Aschan,8,2016-09-25
378,tt3416532,2016-09-25,2016-09-25,,A Monster Calls,https://www.imdb.com/title/tt3416532/,movie,7.5,108,2016,"Animation, Drama, Fantasy",58637,2016-09-09,J.A. Bayona,9,2016-09-25
379,tt0074216,2016-09-29,2016-09-29,,The Blank Generation,https://www.imdb.com/title/tt0074216/,movie,6.2,55,1976,"Documentary, Music",194,1976-04-22,"Ivan Král, Amos Poe",1,2016-09-29
380,tt1935859,2016-10-01,2016-10-01,,Miss Peregrine's Home for Peculiar Children,https://www.imdb.com/title/tt1935859/,movie,6.7,127,2016,"Adventure, Drama, Family, Fantasy",125200,2016-09-25,Tim Burton,8,2016-10-01
381,tt0086122,2016-10-04,2016-10-04,,The Ploughman's Lunch,https://www.imdb.com/title/tt0086122/,movie,6.6,107,1983,Drama,292,1983-05-01,Richard Eyre,,
382,tt2246565,2016-10-23,2016-10-23,,An Honest Liar,https://www.imdb.com/title/tt2246565/,movie,7.5,90,2014,"Documentary, Biography, Comedy, History",7357,2014-04-18,"Tyler Measom, Justin Weinstein",,
383,tt5219412,2016-10-25,2016-10-25,,Rockin' High: The Highest Gig in the World,https://www.imdb.com/title/tt5219412/,tvMovie,7.6,50,2015,"Musical, Reality-TV, Talk-Show",5,2015-11-16,,,
384,tt3908142,2016-11-09,2016-11-09,,The Love Witch,https://www.imdb.com/title/tt3908142/,movie,6.2,120,2016,"Comedy, Horror, Romance",7194,2016-01-31,Anna Biller,7,2016-11-09
385,tt0138393,2016-11-11,2016-11-11,,The Decline of Western Civilization Part III,https://www.imdb.com/title/tt0138393/,movie,7.2,86,1998,"Documentary, Music",753,1998-01-01,Penelope Spheeris,,
386,tt4550098,2016-12-06,2016-12-06,,Nocturnal Animals,https://www.imdb.com/title/tt4550098/,movie,7.5,116,2016,"Crime, Drama, Romance, Thriller",171586,2016-09-02,Tom Ford,10,2016-12-25
387,tt0030307,2016-12-06,2016-12-06,,Jääkärin morsian,https://www.imdb.com/title/tt0030307/,movie,5.7,97,1938,"Drama, History, War",66,1938-02-27,Risto Orko,,
388,tt0475784,2016-12-15,2016-12-15,,Westworld,https://www.imdb.com/title/tt0475784/,tvSeries,8.9,62,2016,"Drama, Mystery, Sci-Fi, Western",257393,2016-09-30,,,
389,tt2543164,2016-12-20,2016-12-20,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Mystery, Sci-Fi, Thriller",434632,2016-09-01,Denis Villeneuve,,
390,tt0039628,2016-12-25,2016-12-25,,Miracle on 34th Street,https://www.imdb.com/title/tt0039628/,movie,7.9,96,1947,"Comedy, Drama, Family",34373,1947-06-04,George Seaton,,
391,tt0068182,2017-01-11,2017-01-11,,"Aguirre, der Zorn Gottes",https://www.imdb.com/title/tt0068182/,movie,8.0,95,1972,"Adventure, Biography, Drama, History",43154,1972-12-29,Werner Herzog,,
392,tt2361317,2017-01-15,2017-01-15,,Live by Night,https://www.imdb.com/title/tt2361317/,movie,6.4,129,2016,"Action, Crime, Drama, Thriller",40145,2016-12-13,Ben Affleck,3,2017-01-15
393,tt4610372,2017-01-27,2017-01-27,,Noma My Perfect Storm,https://www.imdb.com/title/tt4610372/,movie,6.1,100,2015,Documentary,511,2015-11-03,Pierre Deschamps,,
394,tt5116410,2017-01-27,2017-01-27,,Tower,https://www.imdb.com/title/tt5116410/,movie,8.0,96,2016,"Documentary, Animation, Crime",4852,2016-03-13,Keith Maitland,,
395,tt5140848,2017-01-29,2017-01-29,,Det Han Gjorde,https://www.imdb.com/title/tt5140848/,movie,6.7,62,2015,"Documentary, Biography",21,2015-11-06,Jonas Poher Rasmussen,,
396,tt6399400,2017-02-06,2017-02-06,,Kiehumispiste,https://www.imdb.com/title/tt6399400/,movie,6.6,90,2017,Documentary,84,2017-01-23,Elina Hirvonen,,
397,tt0097108,2017-02-23,2017-02-23,,"The Cook, the Thief, His Wife & Her Lover",https://www.imdb.com/title/tt0097108/,movie,7.6,124,1989,"Crime, Drama",29656,1989-09-04,Peter Greenaway,,
398,tt2870648,2017-02-26,2017-02-26,,Amy,https://www.imdb.com/title/tt2870648/,movie,7.8,128,2015,"Documentary, Biography, Music",39641,2015-05-16,Asif Kapadia,9,2017-02-26
399,tt5226984,2017-02-26,2017-02-26,,Tom of Finland,https://www.imdb.com/title/tt5226984/,movie,7.0,115,2017,"Biography, Drama",2431,2017-01-27,Dome Karukoski,,
400,tt0048624,2017-03-18,2017-03-18,,Sissi,https://www.imdb.com/title/tt0048624/,movie,7.1,102,1955,"Comedy, Drama, History, Romance",6355,1955-12-21,Ernst Marischka,,
401,tt4975722,2017-03-26,2017-03-26,,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.5,111,2016,Drama,184595,2016-09-02,Barry Jenkins,,
402,tt5029608,2017-03-30,2017-03-30,,Frantz,https://www.imdb.com/title/tt5029608/,movie,7.5,113,2016,"Drama, History, Romance, War",8333,2016-09-03,François Ozon,,
403,tt4666726,2017-03-30,2017-03-30,,Christine,https://www.imdb.com/title/tt4666726/,movie,6.9,119,2016,"Biography, Drama",8867,2016-01-23,Antonio Campos,,
404,tt3882074,2017-03-31,2017-03-31,,The Eagle Huntress,https://www.imdb.com/title/tt3882074/,movie,7.5,87,2016,"Documentary, Adventure, Sport",2489,2016-01-24,Otto Bell,,
405,tt5804038,2017-03-31,2017-03-31,,I Am Not Your Negro,https://www.imdb.com/title/tt5804038/,movie,7.8,93,2016,Documentary,10711,2016-09-10,Raoul Peck,,
406,tt1878870,2017-03-31,2017-03-31,,The Edge of Seventeen,https://www.imdb.com/title/tt1878870/,movie,7.4,104,2016,"Comedy, Drama",68292,2016-09-16,Kelly Fremon Craig,,
407,tt3721936,2017-04-02,2017-04-02,,American Honey,https://www.imdb.com/title/tt3721936/,movie,7.0,163,2016,"Adventure, Drama, Romance",26092,2016-05-15,Andrea Arnold,,
408,tt5141494,2017-04-02,2017-04-02,,Maman a tort,https://www.imdb.com/title/tt5141494/,movie,6.5,110,2016,Drama,121,2016-08-24,Marc Fitoussi,,
409,tt4630550,2017-04-02,2017-04-02,,La fille inconnue,https://www.imdb.com/title/tt4630550/,movie,6.5,113,2016,"Crime, Drama, Mystery, Thriller",4942,2016-05-18,"Luc Dardenne, Jean-Pierre Dardenne",,
410,tt2582782,2017-04-02,2017-04-02,,Hell or High Water,https://www.imdb.com/title/tt2582782/,movie,7.6,102,2016,"Crime, Drama, Thriller, Western",147727,2016-05-16,David Mackenzie,,
411,tt5278506,2017-04-09,2017-04-09,,Tickled,https://www.imdb.com/title/tt5278506/,movie,7.6,92,2016,"Documentary, Mystery",10281,2016-01-24,"David Farrier, Dylan Reeve",,
412,tt1527186,2017-04-09,2017-04-09,,Melancholia,https://www.imdb.com/title/tt1527186/,movie,7.1,135,2011,"Drama, Fantasy, Sci-Fi",143505,2011-05-18,Lars von Trier,,
413,tt4846340,2017-04-13,2017-04-13,,Hidden Figures,https://www.imdb.com/title/tt4846340/,movie,7.8,127,2016,"Biography, Drama, History",142586,2016-12-25,Theodore Melfi,2,2017-04-13
414,tt4645368,2017-04-17,2017-04-17,,Juste la fin du monde,https://www.imdb.com/title/tt4645368/,movie,6.9,97,2016,Drama,15002,2016-05-19,Xavier Dolan,1,2017-04-17
415,tt5196660,2017-04-19,2017-04-19,,Amateur,https://www.imdb.com/title/tt5196660/,movie,6.5,97,2016,Thriller,39,2016-11-19,Sebastian Perillo,,
416,tt4982166,2017-04-19,2017-04-19,,La noche del virgen,https://www.imdb.com/title/tt4982166/,movie,5.4,116,2016,"Comedy, Fantasy, Horror, Mystery, Thriller",232,2016-10-16,Roberto San Sebastián,10,2017-04-20
417,tt4954522,2017-04-20,2017-04-20,,Grave,https://www.imdb.com/title/tt4954522/,movie,7.0,99,2016,"Drama, Horror",35113,2016-05-14,Julia Ducournau,9,2017-04-20
418,tt4158096,2017-04-20,2017-04-20,,Free Fire,https://www.imdb.com/title/tt4158096/,movie,6.4,91,2016,"Action, Comedy, Crime, Thriller",28752,2016-09-08,Ben Wheatley,9,2017-04-20
419,tt6559976,2017-04-20,2017-04-20,,Viulu,https://www.imdb.com/title/tt6559976/,short,5.6,12,2017,"Short, Action",7,2017-04-20,Ramin Sohrab,,
420,tt5584732,2017-04-21,2017-04-21,,Die Hölle,https://www.imdb.com/title/tt5584732/,movie,6.5,92,2017,Thriller,485,2017-01-19,Stefan Ruzowitzky,4,2017-04-21
421,tt4909602,2017-04-21,2017-04-21,,Lyst,https://www.imdb.com/title/tt4909602/,movie,3.8,84,2017,"Horror, Mystery, Thriller",111,2017-04-21,Severin Eskeland,,
422,tt6019068,2017-04-22,2017-04-22,,The Mentors: Kings of Sleaze Rockumentary,https://www.imdb.com/title/tt6019068/,movie,7.4,78,2017,"Documentary, Comedy, Music",9,2017-04-21,April Jones,,
423,tt5207320,2017-04-22,2017-04-22,,"Sweet, Sweet Lonely Girl",https://www.imdb.com/title/tt5207320/,movie,5.4,76,2016,"Drama, Horror, Thriller",462,2016-09-22,A.D. Calvo,,
424,tt0084861,2017-04-22,2017-04-22,,Vice Squad,https://www.imdb.com/title/tt0084861/,movie,6.4,97,1982,"Action, Crime, Drama, Thriller",1430,1982-01-22,Gary Sherman,,
425,tt5052448,2017-05-06,2017-05-06,,Get Out,https://www.imdb.com/title/tt5052448/,movie,7.7,104,2017,"Horror, Mystery, Thriller",266355,2017-01-23,Jordan Peele,,
